Entity Name,Entity Type,Category,Description,Image,Link,Wiki,Size
Rob Anderson,Person,,"The Free Alberta Strategy co-author | Rob Anderson is an Alberta lawyer practicing civil litigation, a political commentator for ‘Rob Anderson Unfi ltered’, and former Member of the Legislative Assembly of Alberta for Airdrie from 2008 – 2015.",,,,2
Rob Patterson,Person,,,,,,1
Robert Malone,Person,,We Unify Conference | Physician,,,,1
Rod Giltaca,Person,,We Unify Conference | Firearm Advocate,,,,1
Rod Taylor,Person,,We Unify Conference | Politician,,,,1
Ryan Cole,Person,,We Unify Conference | Physician,,,,1
Scott Payne,Person,,"""Scott is a military veteran residing in Medicine Hat … also an active member of the National Firearms Association and the Black Hats"" | LaVar Payne's son",,,,2
Shane Wenzel,Person,,We Unify Conference | Entrepreneur,,,,1
Shannon Packham,Person,,,,,,1
Sheldon Yakiwchuk,Person,,We Unify Conference | Councillor Candidate,,,,1
Stockwell Day,Person,,We Unify Conference | Former Politician,,,,1
Tanner Hnidey,Person,,,,,,1
Tanya Clemens,Person,,"Featured speaker at APP event ""FARMER, EDUCATOR, ADVOCATE FOR AGRICULTURE"". Running for UCP Livingstone-Macleod",,,,1
Ted Kuntz,Person,,"We Unify Conference | NCI Chair, anti-vaccine advocate",,,,2
Tobias Lütke,Person,,"Build Canada allegedly grew out of a WhatsApp group created by Tobias Lütke, the founder and CEO of Shopify",,,,2
Tristin Hopper,Person,,We Unify Conference | Journalist,,,,1
Vicky Bayford,Person,,Contact for APP Event,,,,1
Viva Frei,Person,,We Unify Conference | Youtuber,,,,1
Walter Harris-Demelo,Person,,"VP Communications APP (2022, and present according to LinkedIn)",,,,1
Will Dove,Person,,We Unify Conference | Iron Wire Founder,,,,2
Will Stayer,Person,,VP Internal Affairs APP (2022),,,,1
Wyatt Claypool,Person,,We Unify Conference | National Telegraph,,,,2
AECOM,Group,,,,,,1
Alberta Law Review,Group,,,,,,1
Alberta Parents Union,Group,,,,,,1
Alberta Prosperity Project,Group,,,https://i.ibb.co/QRP3mj6/ppapp.png,,,23
BC Rising,Group,,,,,,1
Black Hat Gang,Group,,,https://m.media-amazon.com/images/I/31Sq278GVHL._SL500_.jpg,,,5
BP,Group,,,,,,1
Build Canada,Group,,,https://i.ibb.co/TGDqSYX/BC.png,,,10
Build Toronto,Group,,,,,,1
Canada Spends,Group,,,,,,1
Canadian Constitution Foundation,Group,,,,,,1
Canadians for Truth,Group,,,,,,1
Charter Advocates Canada,Group,,,,,,1
Citizen Portal AI,Group,,,,,,1
Classical Academy,Group,,,,,,1
Credit Union,Group,,,,,,1
Energy Probe Research Foundation,Group,,,https://i.ibb.co/gMLtWQQ2/bss.png,,,3
Fraser Institute,Group,,,,,,1
Free Alberta Strategy Group,Group,,,https://i.ibb.co/DdFGn0K/fla.png,,,3
Genspect Canada,Group,,,,,,1
Give Send Go,Group,,,,,,2
Heritage Foundation,Group,,,,,,1
Iron Wire,Group,,,,,,1
Justice Centre for Constitutional Freedoms,Group,,,,,,2
Maple Leaf Strategies,Group,,,,,,1
McGill Institute for the Study of Canada,Group,,,,,,1
Murphy Oil,Group,,,,,,1
National Telegraph,Group,,,,,,1
NCI,Group,,,,,,1
Ottawa Citizen,Group,,,,,,1
Parents for Choice,Group,,,,,,1
Patch,Group,,,,,,1
Permaculture,Group,,,,,,1
Questerre Energy,Group,,,,,,1
Rebel News,Group,,,,,,2
Republican Party of Alberta,Group,,,https://i.ibb.co/FLDkx6cF/abr.png,,,2
Restaurant Brands International,Group,,,,,,1
Shopify,Group,,,,,,2
Stratfor,Group,,,,,,1
Strathcons Resources,Group,,,,,,1
Suncor,Group,,,,,,1
Take Back Alberta,Group,,,https://i.ibb.co/gZmPRdt7/tab.png,,,3
The Epoch Times,Group,,,,,,2
Unified Grassroots,Group,,,,,,1
United Conservative Party,Group,,,,,,1
University of Calgary,Group,,,,,,1
Warerous Energy Fund,Group,,,,,,1
We Unify Conference,Group,,,https://i.ibb.co/Ng4Sv3MM/we.png,,,70
Western Standard,Group,,,,,,2
Wildrose Party,Group,,,,,,2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,
